Aged,Married,TotalDependents,ServiceSpan,MobileService,CyberProtection,HardwareSupport,TechnicalAssistance,FilmSubscription,QuarterlyPayment,GrandPayment,sex_Male,4GService_Satellite Broadband,4GService_Wifi Broadband,SettlementProcess_Card,SettlementProcess_Check,SettlementProcess_Electronic
1,0,0,0.753424658,1,0,0,0,0,0.707161544,0.567805109,0,0,1,0,0,1
1,1,0,0.794520548,1,0,1,0,0,0.789493642,0.675527453,1,0,1,0,0,1
0,0,0,0.698630137,1,1,1,1,0,0.796074736,0.624664065,1,0,1,0,1,0
0,0,0,0.561643836,1,0,1,0,0,0.744771327,0.43255275,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0.282864993,0.005411121,1,0,1,0,1,0
0,1,1,0.205479452,1,1,1,1,0,0.948129874,0.216914764,1,0,1,0,0,1
0,0,0,0.054794521,1,1,0,0,0,0.590524983,0.028393078,1,0,0,0,0,1
0,1,1,0.671232877,1,1,0,0,1,0.755554565,0.522730616,1,1,0,0,0,1
1,0,0,0.178082192,1,0,0,0,1,0.71570223,0.138394214,1,0,1,0,0,1
0,1,1,0.315068493,1,1,1,1,0,0.706917341,0.253411127,0,0,1,1,0,0
0,0,0,0.123287671,1,0,1,0,0,0.709675539,0.11397466,0,1,0,0,0,1
0,0,1,0.02739726,0,0,0,0,1,0.043027623,0.002443092,1,1,0,0,1,0
0,0,0,0,1,1,0,0,0,0.30957969,0.005789856,1,0,1,0,0,1
0,1,0,0.931506849,1,1,0,1,1,0.858618172,0.834891292,0,1,0,1,0,0
0,1,0,0.849315068,1,0,1,1,1,0.396858819,0.432474859,0,1,0,0,0,0
0,1,1,0.479452055,1,0,0,0,0,0.040638602,0.07329459,1,0,0,0,1,0
0,0,0,0.178082192,1,0,1,0,0,0.597007214,0.12802839,1,1,0,0,0,1
0,1,1,0.890410959,1,0,0,0,1,0.085597702,0.197306306,1,0,1,1,0,0
1,0,0,0.876712329,1,0,1,1,1,0.578418139,0.56057953,0,1,0,1,0,0
0,1,1,0.698630137,1,1,0,1,0,0.458807165,0.402060859,1,1,0,0,0,0
0,0,0,0.02739726,1,0,0,0,0,0.321485077,0.005830494,0,1,0,0,0,1
0,0,0,0.808219178,1,1,1,0,1,0.366662204,0.372635815,0,0,0,0,0,1
0,0,0,0.315068493,1,0,0,0,0,0.666978151,0.213856104,1,1,0,0,1,0
0,0,0,0.01369863,1,0,0,0,1,0.508122715,0.008062055,0,0,0,0,0,1
0,1,0,0.98630137,1,1,1,1,0,0.733672108,0.764184581,0,1,0,0,0,0
0,1,0,0.726027397,0,0,1,1,0,0.841832338,0.661515027,0,0,1,0,0,1
0,1,1,0.01369863,1,0,0,0,0,0.032957286,0.002546503,1,0,1,0,0,1
0,0,0,0.95890411,1,1,1,1,0,0.953710642,0.887892322,1,0,0,0,0,0
0,0,0,0.02739726,0,0,0,0,1,0.629521177,0.009099939,0,1,0,0,1,0
0,1,1,0.301369863,1,0,0,0,1,0.040991757,0.050971211,0,1,0,0,1,0
0,1,1,0.369863014,1,0,0,0,1,0.699966948,0.299419851,1,0,0,0,0,0
0,1,0,0.97260274,1,0,1,1,1,0.293159898,0.375737792,0,1,0,0,0,1
0,0,0,0.04109589,1,0,0,0,1,0.607813762,0.047924962,1,1,0,0,0,1
1,1,0,0.136986301,1,0,1,1,1,0.719481836,0.107620647,1,0,1,0,1,0
1,1,1,0.95890411,1,1,0,0,1,0.858646452,0.869051066,0,0,1,1,0,0
0,1,0,0.849315068,1,0,0,0,1,0.029631788,0.142476142,1,0,1,0,0,0
0,0,0,0.616438356,1,1,1,1,0,0.842507405,0.544802118,1,1,0,0,0,1
0,0,0,0.273972603,1,0,0,0,1,0.039419253,0.0466096,0,0,0,0,1,0
0,1,0,0.698630137,1,0,0,0,1,0.139331635,0.176125975,1,1,0,1,0,0
1,0,0,0.04109589,1,0,0,0,1,0.508725548,0.027255264,1,0,0,0,0,1
0,1,1,0.97260274,1,0,1,0,0,0.870157736,0.889355543,1,0,1,0,0,0
0,0,0,0.095890411,1,1,1,1,0,0.498087294,0.066629791,0,0,1,0,0,0
0,0,0,0.02739726,1,0,0,0,1,0.26951633,0.005176451,0,1,0,1,0,0
0,0,0,0.547945205,1,0,0,0,1,0.026102491,0.092636008,0,0,0,0,1,0
0,1,1,0.383561644,1,0,0,1,0,0.698126351,0.289047207,1,1,0,0,0,1
0,1,1,0.506849315,1,0,0,0,0,0.071569555,0.099584882,0,1,0,0,0,0
0,0,0,0.301369863,1,0,1,0,1,0.319473882,0.124533865,1,0,0,1,0,0
0,0,1,0.342465753,1,0,0,0,0,0.083969184,0.090926735,1,1,0,1,0,0
0,1,0,0.821917808,1,0,0,0,1,0.233220533,0.282568224,0,0,0,0,0,0
0,0,0,0.465753425,1,0,1,0,0,0.877358686,0.419951718,0,0,0,0,0,1
0,1,0,0.835616438,1,0,1,1,1,0.91501022,0.764535362,0,1,0,1,0,0
0,1,1,0.095890411,1,0,0,0,0,0.04127531,0.017558547,0,1,0,0,1,0
0,1,1,0.095890411,1,0,0,0,1,0.035086612,0.014000509,1,1,0,0,1,0
0,1,1,1,1,0,0,0,1,0.024991889,0.162980426,0,0,1,1,0,0
0,0,1,0.630136986,1,0,0,0,0,0.037039088,0.107817566,0,0,0,0,1,0
1,1,0,0.602739726,1,1,1,1,0,0.885963794,0.55640417,1,0,1,0,1,0
0,1,0,0.150684932,1,0,1,0,1,0.309224458,0.07284137,0,0,0,0,0,0
0,1,0,0.97260274,1,0,1,1,0,0.655938229,0.685826707,1,0,0,1,0,0
1,1,0,0.876712329,1,0,0,0,1,0.816232415,0.770424555,1,0,1,0,0,1
0,1,1,0.780821918,1,0,0,1,0,0.775752256,0.62526656,1,0,0,1,0,0
0,1,1,0.164383562,1,0,0,0,0,0.027983359,0.031369577,1,1,0,0,1,0
1,0,0,0.246575342,1,0,0,0,0,0.690749092,0.198990222,0,1,0,1,0,0
0,1,1,0.821917808,1,0,0,0,0,0.031513308,0.14626976,0,0,0,0,0,0
1,0,0,0.328767123,1,0,1,0,1,0.825159977,0.287575895,0,1,0,1,0,0
0,1,1,0.534246575,1,0,1,0,0,0.662223616,0.386407303,1,1,0,0,0,1
0,0,0,0.02739726,1,0,0,0,0,0.51799953,0.008157838,1,1,0,0,1,0
0,0,0,0.547945205,1,0,0,0,0,0.08018811,0.11107077,1,0,0,0,1,0
0,0,0,0.068493151,1,0,0,0,1,0.571081509,0.034784074,0,0,1,0,0,1
0,0,0,0.821917808,1,1,1,0,0,0.844815926,0.732549732,0,1,0,0,0,1
1,1,0,0.246575342,1,0,0,0,0,0.543845153,0.168595857,1,0,1,0,0,1
0,1,1,0.684931507,1,0,0,1,0,0.790983674,0.566399594,1,0,0,0,0,1
0,1,1,0.835616438,1,0,0,0,0,0.052217361,0.173595333,1,0,0,1,0,0
0,0,0,0.397260274,1,0,0,1,0,0.700182333,0.302206812,1,0,1,0,1,0
0,0,0,0.767123288,1,0,0,1,0,0.363538116,0.360975372,1,1,0,0,1,0
0,1,0,0.97260274,1,0,0,1,1,0.854957334,0.848208039,0,0,1,1,0,0
0,1,1,0.150684932,0,0,1,0,0,0.415390019,0.085455329,1,1,0,1,0,0
0,0,0,0.02739726,1,0,0,0,0,0.040068906,0.002339096,1,1,0,0,1,0
0,0,0,0.232876712,1,0,0,0,1,0.028958702,0.042357849,0,1,0,0,1,0
1,0,0,0.150684932,1,1,0,0,0,0.374352054,0.067025469,1,0,1,0,0,1
0,0,0,0.191780822,1,1,0,1,0,0.286722544,0.068768634,0,1,0,1,0,0
0,0,0,0.287671233,1,0,0,0,1,0.760974424,0.269887408,0,1,0,0,0,1
0,1,1,0.150684932,1,1,0,0,0,0.468549118,0.083394872,0,1,0,0,0,0
0,1,1,0.97260274,1,0,1,0,1,0.781024624,0.788497148,0,0,1,1,0,0
0,1,1,0.698630137,1,0,1,1,0,0.377747449,0.333707497,1,0,0,0,0,1
0,1,1,0.904109589,1,1,0,0,1,0.660911903,0.655881577,0,0,1,0,0,0
0,0,0,0.246575342,1,1,0,0,0,0.389779305,0.109174466,1,1,0,0,1,0
1,1,0,0.863013699,1,1,1,0,1,0.615931636,0.577640235,1,0,1,1,0,0
1,1,0,0.315068493,1,0,1,0,0,0.853689641,0.251695129,1,1,0,0,0,1
0,1,0,0.876712329,1,1,1,1,0,0.680731598,0.631371446,1,1,0,1,0,0
0,1,0,1,1,0,0,0,0,0.087929504,0.201674146,1,0,0,0,0,1
0,0,0,0.589041096,1,1,1,0,1,0.780498706,0.494850546,0,0,1,0,0,1
0,1,0,0.739726027,1,0,1,0,1,0.408292847,0.39031769,1,1,0,1,0,0
0,0,0,0.164383562,1,0,1,0,0,0.810677408,0.130097082,0,0,0,0,0,1
0,1,0,0.630136986,1,0,0,1,1,0.461401381,0.346376295,0,0,0,1,0,0
0,0,0,0.04109589,1,0,0,0,0,0.611911702,0.037346114,0,0,1,0,0,1
0,1,1,0.397260274,1,0,1,0,0,0.621513551,0.25486573,1,1,0,1,0,0
0,0,0,0,1,0,0,0,1,0.018374615,0.005465729,1,1,0,0,1,0
0,0,0,0.095890411,1,1,0,1,0,0.588461314,0.065895984,1,0,0,0,0,1
0,0,0,0.04109589,1,0,1,0,0,0.302535947,0.019401736,1,0,1,0,0,1
1,1,0,0.164383562,1,0,0,0,0,0.018942493,0.025006778,0,1,0,0,1,0
0,1,0,0.945205479,1,1,1,1,1,0.966135766,0.956800092,1,0,1,0,0,0
